,Bikename,Milege,Power in(PS),MinPrice,MaxPrice,Bikelinks,,
171,Triumph Street Triple,NaN,123 PS,Rs.9.15 Lakh,Rs. 11.70 Lakh*,https://www.bikedekho.com/triumph/street-triple,,
172,Triumph Trident 660,17.47 kmpl,81 PS,Rs.7.45 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/trident,,
173,Triumph Rocket 3,NaN,167 PS,Rs.19.90 Lakh,Rs. 21.40 Lakh*,https://www.bikedekho.com/triumph/rocket-3,,
174,Triumph Tiger 900,NaN,95.2 PS,Rs.13.70 Lakh,Rs. 15.50 Lakh*,https://www.bikedekho.com/triumph/tiger-900,,
175,Triumph Tiger Sport 660,NaN,81 PS,Rs.8.95 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/tiger-sport-660,,
176,Triumph Bonneville T120,21.27 kmpl,80 PS,Rs.11.09 Lakh,Rs. 11.89 Lakh*,https://www.bikedekho.com/triumph/bonneville,,
177,Triumph Tiger 850 Sport,NaN,85 PS,Rs.11.95 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/tiger-850,,
178,Triumph Speed Twin 900,NaN,65 PS,Rs.8.49 Lakh,Rs. 8.79 Lakh*,https://www.bikedekho.com/triumph/street-twin,,
179,Triumph Bonneville T100,NaN,65 PS,Rs.9.69 Lakh,Rs. 10.04 Lakh*,https://www.bikedekho.com/triumph/bonneville-t100,,
180,Triumph Bonneville Speedmaster,NaN,78 PS,Rs.12.05 Lakh,Rs. 12.85 Lakh*,https://www.bikedekho.com/triumph/speedmaster,,
181,Triumph Speed Triple 1200,NaN,180 PS,Rs.17.95 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/speed-triple-1200,,
182,Triumph Tiger 1200,NaN,150 PS,Rs.19.19 Lakh,Rs. 21.69 Lakh*,https://www.bikedekho.com/triumph/tiger-1200,,
183,Triumph Scrambler 900,NaN,7.6 PS,Rs.9.59 Lakh,Rs. 9.89 Lakh*,https://www.bikedekho.com/triumph/street-scrambler,,
184,Triumph Bonneville Bobber,NaN,78 PS,Rs.12.05 Lakh,Rs. 12.85 Lakh*,https://www.bikedekho.com/triumph/bonneville-bobber,,
185,Triumph Speed Twin,NaN,100 PS,Rs.11.09 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/speed-twin,,
186,Indian Challenger,NaN,122.5 PS,Rs.36.97 Lakh,Rs. 37.84 Lakh*,https://www.bikedekho.com/indian/challenger,,
187,Indian Scout,NaN,127.8 PS,Rs.17.52 Lakh,Rs. 18.33 Lakh*,https://www.bikedekho.com/indian/scout,,
188,Indian Pursuit,NaN,NaN,Rs.42.03 Lakh,Rs. 47.37 Lakh*,https://www.bikedekho.com/indian/pursuit,,
189,Indian Super Chief Limited,NaN,NaN,Rs.24.33 Lakh,Rs. 24.35 Lakh*,https://www.bikedekho.com/indian/super-chief-limited,,
190,Indian Chieftain Dark Horse,NaN,NaN,Rs.31.100 Lakh*,Rs.NaN,https://www.bikedekho.com/indian/chieftain-dark-horse,,
191,Indian Scout Bobber,NaN,NaN,Rs.16.88 Lakh,Rs. 17.37 Lakh*,https://www.bikedekho.com/indian/scout-bobber,,
192,Indian Chief Bobber Dark Horse,NaN,NaN,Rs.22.82 Lakh,Rs. 22.86 Lakh*,https://www.bikedekho.com/indian/chief-bobber-dark-horse,,
193,Indian Springfield,NaN,NaN,Rs.32.73 Lakh,Rs. 33.05 Lakh*,https://www.bikedekho.com/indian/springfield,,
194,Indian Roadmaster,NaN,NaN,Rs.43.49 Lakh,Rs. 46.77 Lakh*,https://www.bikedekho.com/indian/roadmaster,,
195,Indian Chief Dark Horse,NaN,NaN,Rs.22.13 Lakh,Rs. 22.25 Lakh*,https://www.bikedekho.com/indian/chief-dark-horse,,
196,Indian Springfield Dark Horse,NaN,NaN,Rs.29.56 Lakh,Rs. 30.29 Lakh*,https://www.bikedekho.com/indian/springfield-dark-horse,,
197,Indian Scout Rogue,NaN,95.1 PS,Rs.17.28 Lakh,Rs. 17.41 Lakh*,https://www.bikedekho.com/indian/scoute-rogue,,
198,Indian FTR,NaN,124.7 PS,Rs.19.38 Lakh,Rs. 22.03 Lakh*,https://www.bikedekho.com/indian/ftr-1200,,
199,Indian Chieftain Limited,NaN,NaN,Rs.34.26 Lakh,Rs. 34.40 Lakh*,https://www.bikedekho.com/indian/chieftain-limited,,
200,Indian Chieftain Elite,NaN,NaN,Rs.38 Lakh*,Rs.NaN,https://www.bikedekho.com/indian/chieftain-elite,,
201,BMW S 1000 RR,NaN,212.91 PS,Rs.20.25 Lakh,Rs. 24.45 Lakh*,https://www.bikedekho.com/bmw/s1000rr,,
202,BMW G 310 R,32.46 kmpl,34 PS,Rs.2.75 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/g-310-r,,
203,BMW G 310 RR,30.3 kmpl,33.99 PS,Rs.2.90 Lakh,Rs. 2.99 Lakh*,https://www.bikedekho.com/bmw/g-310-rr,,
204,BMW R 1250 GS,15 kmpl,136 PS,Rs.20.55 Lakh,Rs. 22.50 Lakh*,https://www.bikedekho.com/bmw/r-1250-gs,,
205,BMW G 310 GS,29.26 kmpl,34 PS,Rs.3.15 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/g-310-gs,,
206,BMW K 1600 GTL,NaN,160.4 PS,Rs.32 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/k-1600,,
207,BMW R 1250 GS Adventure,14 kmpl,136 PS,Rs.21.30 Lakh,Rs. 22.50 Lakh*,https://www.bikedekho.com/bmw/r-1250-gs-adventure,,
208,BMW M 1000 RR,NaN,212.1 PS,Rs.42 Lakh,Rs. 45 Lakh*,https://www.bikedekho.com/bmw/m-1000-rr,,
209,BMW C 400 GT,NaN,34 PS,Rs.10.40 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/c-400-gt,,
210,BMW R nineT,NaN,108.77 PS,Rs.18.50 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/r-nine-t,,
211,BMW F 850 GS,NaN,95.17 PS,Rs.12.50 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/f-850-gs,,
212,BMW R 18,NaN,91.09 PS,Rs.19.90 Lakh,Rs. 24 Lakh*,https://www.bikedekho.com/bmw/r-18,,
213,BMW F 850 GS Adventure,NaN,95.17 PS,Rs.13.25 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/f-850-gs-adventure,,
214,BMW K 1600 Grand America,NaN,160.4 PS,Rs.33 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/k-1600-grand-america,,
215,BMW K 1600 Bagger,NaN,160.4 PS,Rs.29.90 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/k-1600-b,,
216,BMW S 1000 XR,NaN,165 PS,Rs.21.30 Lakh,Rs. 21.60 Lakh*,https://www.bikedekho.com/bmw/2020-s-1000-xr,,
217,BMW F 900 XR,NaN,104.6 PS,Rs.12.30 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/f-900-xr,,
218,BMW R 1250 R,NaN,135.96 PS,Rs.16.25 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/r-1250-r,,
219,BMW S 1000 R,NaN,165 PS,Rs.18.30 Lakh,Rs. 22.50 Lakh*,https://www.bikedekho.com/bmw/2021-s1000r,,
220,BMW F 900 R,NaN,104.6 PS,Rs.10.80 Lakh,Rs. 10.95 Lakh*,https://www.bikedekho.com/bmw/f-900-r,,
221,BMW R NineT Scrambler,NaN,108.77 PS,Rs.16.75 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/r-nine-t-scrambler,,
222,BMW R 1250 RT,21 kmpl,135.9 PS,Rs.23.95 Lakh*,Rs.NaN,https://www.bikedekho.com/bmw/r-1250-rt,,
223,Aprilia SR 160,44 kmpl,11.01 PS,Rs.1.30 Lakh,Rs. 1.40 Lakh*,https://www.bikedekho.com/aprilia/sr-160-bs6,,
224,Aprilia Tuono V4,NaN,175 PS,Rs.20.66 Lakh*,Rs.NaN,https://www.bikedekho.com/aprilia/tuono-v4,,
225,Aprilia RSV4,NaN,216 PS,Rs.23.69 Lakh*,Rs.NaN,https://www.bikedekho.com/aprilia/rsv4,,
226,Aprilia SXR 160,47 kmpl,10.9 PS,Rs.1.43 Lakh*,Rs.NaN,https://www.bikedekho.com/aprilia/sxr160,,
227,Aprilia RS 660,NaN,100 PS,Rs.13.39 Lakh*,Rs.NaN,https://www.bikedekho.com/aprilia/rs-660,,
228,Aprilia SXR 125,NaN,9.52 PS,Rs.1.32 Lakh*,Rs.NaN,https://www.bikedekho.com/aprilia/sxr-125,,
229, Aprilia Tuono 660,NaN,95 PS,Rs.13.09 Lakh*,Rs.NaN,https://www.bikedekho.com/aprilia/tuono-660,,
230,Aprilia SR 125,NaN,9.92 PS,Rs.1.21 Lakh*,Rs.NaN,https://www.bikedekho.com/aprilia/sr-125,,
231,Revolt RV400,NaN,NaN,Rs.1.25 Lakh*,Rs.NaN,https://www.bikedekho.com/revolt/rv-400,,
232,Ultraviolette F77,NaN,NaN,Rs.3.80 Lakh,Rs. 5.50 Lakh*,https://www.bikedekho.com/ultraviolette/f77,,
233,PURE EV eTryst 350,NaN,NaN,Rs.1.55 Lakh*,Rs.NaN,https://www.bikedekho.com/pure-ev/etryst-350,,
234,PURE EV ETrance+,NaN,NaN,"Rs.76,999*",Rs.NaN,https://www.bikedekho.com/pure-ev/entrance,,
235,PURE EV ETrance Neo,NaN,NaN,"Rs.87,999*",Rs.NaN,https://www.bikedekho.com/pure-ev/etrance-neo,,
236,PURE EV Epluto,NaN,NaN,"Rs.80,999*",Rs.NaN,https://www.bikedekho.com/pure-ev/epluto,,
237,PURE EV Epluto 7G,NaN,NaN,"Rs.92,999*",Rs.NaN,https://www.bikedekho.com/pure-ev/gepluto-7g,,
238,Komaki Flora,NaN,NaN,"Rs.78,999*",Rs.NaN,https://www.bikedekho.com/komaki/flora,,
239,Komaki LY,NaN,NaN,"Rs.95,866*",Rs.NaN,https://www.bikedekho.com/komaki/ly,,
240,Komaki XGT CAT 2.0,NaN,NaN,"Rs.96,207 ",Rs. 1.02 Lakh*,https://www.bikedekho.com/komaki/xgt-cat-2,,
241,Komaki XGT X4,NaN,NaN,Rs.1.02 Lakh,Rs. 1.24 Lakh*,https://www.bikedekho.com/komaki/xgt-x4,,
242,Komaki XGT Classic,NaN,NaN,Rs.1.11 Lakh*,Rs.NaN,https://www.bikedekho.com/komaki/xgt-classic,,
243,Komaki XGT VP,NaN,NaN,"Rs.65,000 ","Rs. 84,681*",https://www.bikedekho.com/komaki/xgt-vp,,
244,Komaki X2 Vogue,NaN,NaN,"Rs.47,000 ","Rs. 62,311*",https://www.bikedekho.com/komaki/x2-vogue,,
245,Komaki XGT KM,NaN,NaN,"Rs.42,500 ","Rs. 93,045*",https://www.bikedekho.com/komaki/xgtkm,,
246,Komaki DT 3000,NaN,NaN,Rs.1.21 Lakh*,Rs.NaN,https://www.bikedekho.com/komaki/dt-3000,,
247,Komaki XGT X One,NaN,NaN,"Rs.47,617 ","Rs. 78,920*",https://www.bikedekho.com/komaki/xone,,
248,Komaki XGT X5,NaN,NaN,"Rs.72,500 ","Rs. 90,500*",https://www.bikedekho.com/komaki/xgt-x5,,
249,Komaki TN-95,NaN,NaN,"Rs.98,000 ",Rs. 1.31 Lakh*,https://www.bikedekho.com/komaki/tn-95,,
250,Komaki Ranger,NaN,NaN,Rs.1.68 Lakh*,Rs.NaN,https://www.bikedekho.com/komaki/ranger,,
251,Komaki SE,NaN,NaN,"Rs.96,000 ",Rs. 1.30 Lakh*,https://www.bikedekho.com/komaki/se,,
252,Komaki MX3,NaN,NaN,"Rs.95,000*",Rs.NaN,https://www.bikedekho.com/komaki/mx3,,
253,Komaki Venice,NaN,NaN,"Rs.79,000 ",Rs. 1.35 Lakh*,https://www.bikedekho.com/komaki/venice,,
254,Komaki XGT X3,NaN,NaN,"Rs.95,000*",Rs.NaN,https://www.bikedekho.com/komaki/xgt-x3,,
255,Joy e-bike Gen Next Nanu Plus,NaN,NaN,Rs.1.12 Lakh*,Rs.NaN,https://www.bikedekho.com/joy-e/gen-nxt-nanu-plus,,
256,Joy e-bike Beast,NaN,NaN,Rs.2.42 Lakh*,Rs.NaN,https://www.bikedekho.com/joy-e/beast,,
257,Joy e-bike Wolf Plus,NaN,NaN,Rs.1.16 Lakh*,Rs.NaN,https://www.bikedekho.com/joy-e/wolfplus,,
258,Joy e-bike Hurricane,NaN,NaN,Rs.2.33 Lakh*,Rs.NaN,https://www.bikedekho.com/joy-e/hurricane,,
259,Joy e-bike Thunderbolt,NaN,NaN,Rs.2.33 Lakh*,Rs.NaN,https://www.bikedekho.com/joy-e/thunderbolt,,
260,Joy e-bike Monster,NaN,NaN,Rs.1.10 Lakh*,Rs.NaN,https://www.bikedekho.com/joy-e/monster-bike,,
261,Joy e-bike Glob,NaN,NaN,"Rs.77,400*",Rs.NaN,https://www.bikedekho.com/joy-e/glob,,
262,Joy e-bike Wolf,NaN,NaN,"Rs.79,900*",Rs.NaN,https://www.bikedekho.com/joy-e/wolf,,
263,Joy e-bike Gen Nxt Nanu E-scooter,NaN,NaN,"Rs.77,400*",Rs.NaN,https://www.bikedekho.com/joy-e/gen-nxt-nanu-e-scooter,,
264,Moto Guzzi V85 TT,NaN,76 PS,Rs.15.40 Lakh*,Rs.NaN,https://www.bikedekho.com/moto-guzzi/v85-tt,,
265,Keeway V302C,NaN,29.9 PS,Rs.3.89 Lakh,Rs. 4.09 Lakh*,https://www.bikedekho.com/keeway/v302c,,
266,Keeway SR125,NaN,9.83 PS,Rs.1.19 Lakh*,Rs.NaN,https://www.bikedekho.com/keeway/sr125,,
267,Keeway K300 R,NaN,27.88 PS,Rs.2.99 Lakh,Rs. 3.20 Lakh*,https://www.bikedekho.com/keeway/k300r,,
268,Keeway K-Light 250V,NaN,18.9 PS,Rs.2.89 Lakh,Rs. 3.09 Lakh*,https://www.bikedekho.com/keeway/k-light-250v,,
269,Keeway K300 N,NaN,27.88 PS,Rs.2.65 Lakh,Rs. 2.85 Lakh*,https://www.bikedekho.com/keeway/k300n,,
270,Keeway Vieste 300 ,21.56 kmpl,18.9 PS,Rs.2.99 Lakh,Rs. 3.20 Lakh*,https://www.bikedekho.com/keeway/vieste-300,,
271,Keeway Sixties 300i,27.73 kmpl,18.9 PS,Rs.2.99 Lakh,Rs. 3.20 Lakh*,https://www.bikedekho.com/keeway/sixties-300i,,
272,Atumobile AtumVader,NaN,NaN,"Rs.99,999*",Rs.NaN,https://www.bikedekho.com/atumobile/atum-vadar,,
273,Atumobile Atum Version 1.0,NaN,NaN,"Rs.74,999*",Rs.NaN,https://www.bikedekho.com/atumobile/version-1-0,,
274,Hop Oxo,NaN,NaN,Rs.1.25 Lakh,Rs. 1.40 Lakh*,https://www.bikedekho.com/hop-electric/oxo-100,,
275,Hop Electric LEO,NaN,NaN,"Rs.81,999 ","Rs. 95,999*",https://www.bikedekho.com/hop-electric/leo,,
276,Hop Electric LYF,NaN,NaN,"Rs.74,999 ","Rs. 89,999*",https://www.bikedekho.com/hop-electric/lyf,,
277,Yezdi Roadster,28.53 kmpl,29.7 PS,Rs.2.01 Lakh,Rs. 2.09 Lakh*,https://www.bikedekho.com/yezdi-motorcycles/cruiser,,
278,Yezdi Scrambler,32.04 kmpl,29.1 PS,Rs.2.08 Lakh,Rs. 2.14 Lakh*,https://www.bikedekho.com/yezdi-motorcycles/roadking,,
279,Yezdi Adventure,33.07 kmpl,30.2 PS,Rs.2.13 Lakh,Rs. 2.15 Lakh*,https://www.bikedekho.com/yezdi-motorcycles/adventure,,
280,Birla A 1-4,NaN,NaN,Rs.1.60 Lakh,Rs. 2.28 Lakh*,https://www.bikedekho.com/birla-e-bike/a14,,
281,Birla Electro,NaN,NaN,"Rs.76,109 ",Rs. 1.10 Lakh*,https://www.bikedekho.com/birla-e-bike/electro,,
282,Birla Quanto,NaN,NaN,"Rs.69,182 ",Rs. 1.01 Lakh*,https://www.bikedekho.com/birla-e-bike/quanto,,
283,Birla Spark,NaN,NaN,"Rs.69,182 ",Rs. 1.01 Lakh*,https://www.bikedekho.com/birla-e-bike/birla-spark,,
284,Birla Ambition,NaN,NaN,"Rs.73,817 ",Rs. 1.08 Lakh*,https://www.bikedekho.com/birla-e-bike/ambition,,
285,Birla E-Smart,NaN,NaN,"Rs.71,780 ",Rs. 1.04 Lakh*,https://www.bikedekho.com/birla-e-bike/e-smart,,
286,Birla XL,NaN,NaN,Rs.1.52 Lakh*,Rs.NaN,https://www.bikedekho.com/birla-e-bike/birla-xl,,
287,Birla V6,NaN,NaN,Rs.1.60 Lakh,Rs. 2.28 Lakh*,https://www.bikedekho.com/birla-e-bike/v6,,
288,Birla JF,NaN,NaN,Rs.1.63 Lakh,Rs. 2.31 Lakh*,https://www.bikedekho.com/birla-e-bike/jf,,
289,Birla DMS,NaN,NaN,Rs.1.63 Lakh,Rs. 2.31 Lakh*,https://www.bikedekho.com/birla-e-bike/dms,,
290,Birla DMG,NaN,NaN,Rs.2.37 Lakh,Rs. 3.05 Lakh*,https://www.bikedekho.com/birla-e-bike/dmg,,
291,CFMoto 650GT,NaN,62.54 PS,Rs.5.59 Lakh*,Rs.NaN,https://www.bikedekho.com/cfmoto/650gt,,
292,CFMoto 300NK,NaN,33.99 PS,Rs.2.29 Lakh*,Rs.NaN,https://www.bikedekho.com/cfmoto/300nk,,
293,CFMoto 650NK,NaN,61.18 PS,Rs.4.29 Lakh*,Rs.NaN,https://www.bikedekho.com/cfmoto/650nk,,
294,CFMoto 650MT,NaN,70.70 PS,Rs.5.29 Lakh*,Rs.NaN,https://www.bikedekho.com/cfmoto/650mt,,
295,Tunwal T 133,NaN,NaN,Rs.1 Lakh*,Rs.NaN,https://www.bikedekho.com/tunwal/t-133,,
296,Tunwal TZ 3.3,NaN,NaN,Rs.1.15 Lakh*,Rs.NaN,https://www.bikedekho.com/tunwal/tz-33,,
297,Tunwal TEM G33,NaN,NaN,"Rs.92,000*",Rs.NaN,https://www.bikedekho.com/tunwal/tem-g33,,
298,Tunwal Lithino Li,NaN,NaN,"Rs.74,990*",Rs.NaN,https://www.bikedekho.com/tunwal/lithino-li,,
299,Tunwal Elektrika 60,NaN,NaN,"Rs.65,040*",Rs.NaN,https://www.bikedekho.com/tunwal/elektrika-60,,
300,Tunwal Sport 63 Mid,NaN,NaN,"Rs.71,990*",Rs.NaN,https://www.bikedekho.com/tunwal/sport-63-60v,,
301,Tunwal Sport 63 Mini,NaN,NaN,"Rs.49,990*",Rs.NaN,https://www.bikedekho.com/tunwal/sport-63-48v,,
302,Tunwal Roma S,NaN,NaN,"Rs.95,000*",Rs.NaN,https://www.bikedekho.com/tunwal/roma-s,,
303,Tunwal Storm ZX,NaN,NaN,"Rs.90,000*",Rs.NaN,https://www.bikedekho.com/tunwal/strom-zx,,
304,Tunwal Storm ZX Advance 2,NaN,NaN,Rs.1.35 Lakh*,Rs.NaN,https://www.bikedekho.com/tunwal/storm-zx-advance-2,,
305,Tunwal Lithino 2.0,NaN,NaN,"Rs.71,990*",Rs.NaN,https://www.bikedekho.com/tunwal/lithino-li-2,,
306,Tunwal Mini Lithino,NaN,NaN,"Rs.54,990*",Rs.NaN,https://www.bikedekho.com/tunwal/mini-lithino-48v,,
307,Tunwal Sports 63 Alpha 48V,NaN,NaN,"Rs.54,943*",Rs.NaN,https://www.bikedekho.com/tunwal/sport-63-alpha-48v,,
308,Tunwal Storm ZX Advance 1,NaN,NaN,Rs.1.15 Lakh*,Rs.NaN,https://www.bikedekho.com/tunwal/storm-zx-advance-1,,
309,Cyborg Yoda,NaN,NaN,Rs.1.85 Lakh*,Rs.NaN,https://www.bikedekho.com/cyborg/yoda,,
310,Cyborg  Bob-e,NaN,NaN,"Rs.94,999*",Rs.NaN,https://www.bikedekho.com/cyborg/bob-e,,
311,Tork Kratos,NaN,NaN,Rs.1.22 Lakh,Rs. 1.37 Lakh*,https://www.bikedekho.com/tork/t6x,,
312,Earth Energy EV Evolve R,NaN,NaN,Rs.1.42 Lakh*,Rs.NaN,https://www.bikedekho.com/earth-energy-ev/evolve-r,,
313,Earth Energy EV Evolve Z,NaN,NaN,Rs.1.30 Lakh*,Rs.NaN,https://www.bikedekho.com/earth-energy-ev/evolve-z,,
314,Earth Energy EV Glyde Plus,NaN,NaN,"Rs.95,000*",Rs.NaN,https://www.bikedekho.com/earth-energy-ev/glyde-plus,,
315,Husqvarna Vitpilen 250,NaN,30 PS,Rs.2.19 Lakh*,Rs.NaN,https://www.bikedekho.com/husqvarna/vitpilen-250,,
316,Husqvarna Svartpilen 250,NaN,30 PS,Rs.2.20 Lakh*,Rs.NaN,https://www.bikedekho.com/husqvarna/svartpilen-250,,
317,Srivaru Motors Prana,NaN,NaN,Rs.2.25 Lakh,Rs. 3 Lakh*,https://www.bikedekho.com/srivaru-motors/prana,,
318,Rowwet Zepop,NaN,NaN,"Rs.61,770 ","Rs. 78,500*",https://www.bikedekho.com/rowwet/zepop,,
319,Rowwet Rame,NaN,NaN,Rs.1.15 Lakh*,Rs.NaN,https://www.bikedekho.com/rowwet/rame,,
320,Rowwet Eleq,NaN,NaN,Rs.1.16 Lakh*,Rs.NaN,https://www.bikedekho.com/rowwet/eleq,,
321,Rowwet Vegatron,NaN,NaN,Rs.1.25 Lakh*,Rs.NaN,https://www.bikedekho.com/rowwet/vegatron,,
322,Rowwet Trono,NaN,NaN,Rs.1.81 Lakh*,Rs.NaN,https://www.bikedekho.com/rowwet/trono,,
323,QJ Motor SRV 300,NaN,30.72 PS,Rs.3.49 Lakh,Rs. 3.59 Lakh*,https://www.bikedekho.com/qj-motor/srv-300,,
324,QJ Motor SRK 400,NaN,41.46 PS,Rs.3.59 Lakh,Rs. 3.69 Lakh*,https://www.bikedekho.com/qj-motor/srk-400,,
325,QJ Motor SRC 500,NaN,25.85 PS,Rs.2.69 Lakh,Rs. 2.79 Lakh*,https://www.bikedekho.com/qj-motor/src-500,,
326,QJ Motor SRC 250,NaN,17.64 PS,Rs.1.99 Lakh,Rs. 2.10 Lakh*,https://www.bikedekho.com/qj-motor/src-250,,
327,Kabira Mobility KM 4000,NaN,NaN,Rs.1.37 Lakh*,Rs.NaN,https://www.bikedekho.com/kabira-mobility/km-4000,,
328,Kabira Mobility KM 3000,NaN,NaN,Rs.1.23 Lakh*,Rs.NaN,https://www.bikedekho.com/kabira-mobility/km-3000,,
329,Kabira Hermes 75,NaN,NaN,"Rs.89,600*",Rs.NaN,https://www.bikedekho.com/kabira-mobility/hermes-75,,
330,Kabira Mobility Intercity Neo,NaN,NaN,"Rs.67,490*",Rs.NaN,https://www.bikedekho.com/kabira-mobility/intercity-neo,,
331,Kabira Mobility Kollegio Neo,NaN,NaN,"Rs.55,790*",Rs.NaN,https://www.bikedekho.com/kabira-mobility/kollegio-neo,,
332,Kabira Mobility Intercity Aeolus,NaN,NaN,"Rs.71,490*",Rs.NaN,https://www.bikedekho.com/kabira-mobility/intercity-aeolus,,
333,Kabira Mobility Kollegio Plus,NaN,NaN,"Rs.65,490*",Rs.NaN,https://www.bikedekho.com/kabira-mobility/kollegio-plus,,
334,Kabira Mobility Kollegio,NaN,NaN,"Rs.45,990*",Rs.NaN,https://www.bikedekho.com/kabira-mobility/kollegio,,
335,Kabira Mobility Aetos 100,NaN,NaN,"Rs.65,490*",Rs.NaN,https://www.bikedekho.com/kabira-mobility/aetos-100,,
336,One Electric Motorcycles Kridn,NaN,NaN,Rs.1.35 Lakh*,Rs.NaN,https://www.bikedekho.com/one-electric-motorcycles/kridn,,
337,Odysse Electric Evoqis,NaN,NaN,Rs.1.71 Lakh*,Rs.NaN,https://www.bikedekho.com/odysse-electric/evoqis,,
338,Odysse Electric V2,NaN,NaN,"Rs.77,250 ",Rs. 1 Lakh*,https://www.bikedekho.com/odysse-electric/v2,,
339,Odysse Electric E2Go,NaN,NaN,"Rs.59,750 ","Rs. 71,100*",https://www.bikedekho.com/odysse-electric/e2go,,
340,Odysse Electric Racer,NaN,NaN,"Rs.85,000*",Rs.NaN,https://www.bikedekho.com/odysse-electric/racer,,
341,Odysse Electric Hawk,NaN,NaN,"Rs.99,400 ",Rs. 1.18 Lakh*,https://www.bikedekho.com/odysse-electric/odysse-hawk,,
342,Oben Rorr,NaN,NaN,Rs.1.03 Lakh*,Rs.NaN,https://www.bikedekho.com/oben/oben-electric-bike,,
343,Moto Morini SEIEMMEZZO 6 ï¿,NaN,55.7 PS,Rs.6.89 Lakh,Rs. 7.10 Lakh*,https://www.bikedekho.com/moto-morini/seiemmezzo-6,,
344,Moto Morini X-Cape,NaN,60.8 PS,Rs.7.20 Lakh,Rs. 7.50 Lakh*,https://www.bikedekho.com/moto-morini/x-cape,,
345,Zontes 350R,NaN,38.52 PS,Rs.3.15 Lakh,Rs. 3.25 Lakh*,https://www.bikedekho.com/zontes/350r,,
346,Zontes GK350,31.25 kmpl,38.52 PS,Rs.3.37 Lakh,Rs. 3.47 Lakh*,https://www.bikedekho.com/zontes/gk-350,,
347,Zontes 350T,NaN,39.3 PS,Rs.3.37 Lakh,Rs. 3.67 Lakh*,https://www.bikedekho.com/zontes/350t,,
348,Zontes 350X,NaN,38.52 PS,Rs.3.35 Lakh,Rs. 3.45 Lakh*,https://www.bikedekho.com/zontes/350x,,
